QTY,Item,Price,Total,Link
,,,,
2,Cytron 10A 5-30V Dual Channel DC Motor Driver, $19.25 , $38.50 ,https://www.robotshop.com/en/cytron-10a-5-30v-dual-channel-dc-motor-driver.html
4,"Pololu 12V, 75:1 Metal Gear Motor", $36.95 , $147.80 ,https://www.robotshop.com/en/pololu-12v-751-metal-gear-motor-hp-48-cpr-protected-encoder.html
1,60mm Mecanum Wheel Set , $68.00 , $68.00 ,https://www.robotshop.com/en/60mm-mecanum-wheel-set-2x-left-2x-right.html
4,4mm Aluminum Mounting Hub for 60mm Mecanum Wheel, $6.21 , $24.84 ,https://www.robotshop.com/en/4mm-aluminum-mounting-hub-60mm-mecanum-wheel.html
1,TalentCell LF120A1 , $76.99 , $76.99 ,https://www.amazon.com/gp/product/B07JF56C7L/
1,Leoie 250W 10A Step-up Boost Converter with Current Limiter, $12.90 , $12.90 ,https://www.amazon.com/gp/product/B07KTQ4H31
1,Jetson Nano Dev Kit, $89.99 , $89.99 ,https://www.amazon.com/NVIDIA-Jetson-Nano-Developer-945-13450-0000-100/dp/B084DSDDLT/
1,Arduino 2560 MEGA, $18.99 , $18.99 ,https://www.amazon.com/ELEGOO-ATmega2560-ATMEGA16U2-Arduino-Compliant/dp/B01H4ZDYCE/
1,Button Head Hex Drive Screw (25 Pack), $8.46 , $8.46 ,https://www.mcmaster.com/91239A754/
1,Low-Strength Steel Thin Square Nut (100 Pack), $16.00 , $16.00 ,https://www.mcmaster.com/97259A104/
1,Black-Oxide Alloy Steel Socket Head Screw (10 Pack), $7.11 , $7.11 ,https://www.mcmaster.com/91290A190/
1,Black-Oxide Alloy Steel Hex Drive Flat Head Screw (100 Pack), $9.04 , $9.04 ,https://www.mcmaster.com/91294A198/
1,Black-Oxide Alloy Steel Hex Drive Flat Head Screw (100 Pack), $12.73 , $12.73 ,https://www.mcmaster.com/91294A238/
1,High-Starting-Current Rocker Switch, $10.62 , $10.62 ,https://www.mcmaster.com/7194K37/
1,18-8 Stainless Steel Screw-to-Expand Insert for Plastic (5 Pack), $4.60 , $4.60 ,https://www.mcmaster.com/92394A103/
1,Tyco Amp Compact Push-In Connector Set, $8.00 , $8.00 ,https://www.mcmaster.com/1699N13/
1,Bingfu U.FL IPX IPEX MHF4 to RP-SMA Female Bulkhead Mount WiFi Antenna Cable 20cm, $6.99 , $6.99 ,https://www.amazon.com/Bingfu-Bulkhead-AX200NGW-Interface-Wireless/dp/B0894CWLZN/
1,4PCS Breadboards Kit, $8.99 , $8.99 ,https://www.amazon.com/Breadboards-Solderless-Breadboard-Distribution-Connecting/dp/B07DL13RZH/
1,12V DC Power Connector 5.5mm x 2.1mm, $7.49 , $7.49 ,https://www.amazon.com/Power-Connector-Female-Adapter-Camera/dp/B07C61434H/
1,25ft - 1/4 inch PET Expandable Braided Sleeving, $6.99 , $6.99 ,https://www.amazon.com/25ft-Expandable-Braided-Sleeving-Sleeve/dp/B071JH14WZ/
1,HONJIE M2.5 x 5mm + 4mm Male to Female Thread Brass Hexagon Hex Standoff (50 Pack), $9.01 , $9.01 ,https://www.amazon.com/HONJIE-Female-Hexagon-Standoff-Pillars/dp/B0824F2JZ9/
1,"Foam Seal Tape Adhesive Foam Strip, High Density Foam Tape", $10.68 , $10.68 ,https://www.amazon.com/gp/product/B0836Z1HN7/
1,ExpertPower 12V 5A Smart Charger for Lithium LiFePO4, $32.99 , $32.99 ,https://www.amazon.com/ExpertPower-Charger-Lithium-Rechargeable-Batteries/dp/B082LV7RKL/
1,WXJ13 Zip Tie Adhesive Mounts Self Adhesive Cable Tie Base Holders  (100 Pack), $6.99 , $6.99 ,https://www.amazon.com/WXJ13-Adhesive-Holders-Self-Locking-Adhesive-Backed/dp/B08CZ1CZ1G/
1,GeeekPi AC8265 Wireless NIC Module with 5db Antennas for Jetson Nano, $24.99 , $24.99 ,https://www.amazon.com/GeeekPi-Wireless-Antennas-Supports-Bluetooth/dp/B083W54RK4/
1,Noctua NF-A4x20 5V PWM, $14.95 , $14.95 ,https://www.amazon.com/Noctua-NF-A4x20-5V-PWM-Premium-Quality/dp/B071FNHVXN/
,,,,
,TOTAL,, $684.64 ,
